,movie_title,review_content,review_score
9780,Love with the Proper Stranger,"Quaint, old-fashioned, and overwrought.",2.5/5
9781,The Loved One,"sarcastic and in deliciously poor taste, and terribly funny",4.5/5
9782,Lovelace,"Though Rob Epstein and Jeffrey Friedman's handsomely mounted period piece evokes the era with impressive detail, Lovelace's journey remains difficult to tell.",3/5
9783,Loveless (Nelyubov),A successful glacial portrait of human behavior in present-day Russia. [Full review in Spanish],4/5
9784,Lovely Molly,"Sanchez shows tremendous restraint in keeping it simple and in the end, rewards the audience with a haunting little film that's ultimately timeless.",4/5
9785,"Lovely, Still",...[Martin Landau's] stirring portrayal is ultimately the most consistently captivating element within the proceedings.,2.5/4
9786,The Lover (L'amant),"The only moderately interesting scene here is a traditional Chinese wedding toward the end, which, of course, is cut short.",1/4
9787,Lover Come Back,"O roteiro inteligente (e, embora inocente, ainda atual em suas crticas ao consumismo desenfreado) mantm o espectador sempre envolvido, e a sempre palpvel qumica entre Day e Hudson torna a experincia ainda melhor.",4/5
9788,Loverboy,It is impossible to root for a character that gives Mommy Dearest a run for her money.,2.5/5
9789,Loves Her Gun,"...it takes over an hour to get around to what is most interesting about the plot: Allie's initiation into gun culture, and her psychological response to the power that comes from pulling a trigger.",5/10
9790,Love's Kitchen,Gordon Ramsay must be the first man I've ever seen to be out-acted by his own hair transplant.,1/5
9791,Love's Labour's Lost,The goofy side characters are the most unfortunate segment on screen.,7/10
9792,Lovesick,"Matt LeBlanc is so great on Showtime's ""Episodes"" that it's both baffling and depressing to imagine that this soulless rom-com was the best big-screen project available to him.",1/5
9793,Love Wrecked,Lovewrecked seems like such innocent fun until it starts to grind on your nerves as the tale drains of excitement and Bynes's batteries begin to wear down.,C
9794,Loving,Loving has Jeff Nichols' trademarks but it lacks the nuanced storytelling that made his previous films so successful.,6/10
9795,Loving Pablo,"Like Escobar himself remaking the coca business in a bold, new and highly lucrative vision, Bardem and Cruz succeed by doing things their unique way.",3/5
9796,Loving Vincent,"An extraordinary (and entirely demented) labor of love that makes for a wan and uneven viewing experience, ""Loving Vincent"" takes the phrase ""every frame a painting"" to very literal new levels.",B-
9797,Low Down,Low Down proves that even extraordinary performances can get outplayed by the grimness of a disheartening one-note song that ends almost as hopelessly as it begins.,D+
9798,A Low Down Dirty Shame,"I'm not sure what type of movie this is supposed to be or who its audience is, but it's a low down dirty shame that Wayans' talent is wasted on this film.",1.5/5
9799,Low Tide,Well-acted genre thriller with just enough virtues to never leave the viewer high and dry.,2.5/4
9800,Lower City (Cidade Baixa),"Another bracingly dynamic Brazilian drama that jolts us with raw authenticity, finding the universality of human experience in a violent, passionate setting.",4.5/5
9801,Lowlife,"Lowlife is a dirt-nasty nonlinear debut for Ryan Prows, sewn together from vengeful, spite-driven tales of urban survival.",7/10
9802,Lu Over the Wall (Yoake tsugeru Rû no uta),Lu is a charming story filled with fantasy and childlike wonder. Flash animation is used to conjure up the magic and breathe life into the characters.,3/5
9803,Luce,"The performances are solid, with Harrison particularly striking as the model student able to alter his personality to fit what those around him - teachers, classmates, parents - need him to be.",3/4
9804,Lucha Mexico,"Lucha Mexico competently captures the nostalgic spectacle of this Mexican sport with vibrant glee. It may be a rambling journey, but it offers up an infectious energy and a behind-the-ropes look at its legendary heroes.",3.5/5
9805,"Lucia, Lucia","Antonio Serrano, stages his wobbly adaptation of Rosa Montero's novel La Hija del Canbal with lively, fast-moving efficiency.",3/5
9806,Luciferina,Luciferina is a worth export. [Full Review in Spanish],3/5
9807,Luck by Chance,"Bursting with the usual colorful pop music numbers and lighter-than-a-soap-bubble quandaries, the film is a typical Bollywood entry, not likely to win over many new converts.",2/4
9808,Lucky,"Lucky, unfortunately, is terrible: overbearing, obnoxious, and boring.",1.5/4
9809,Lucky Break,Where the film falters is in its tone.,3/5
9810,Lucky Day,...production value alone is no reason to see Lucky Day.,1/5
9811,Lucky Grandma,"If you're a fan of comedy, Asian cinema or both, you will almost definitely love this movie. It's a unique fast-paced film that'll be sure to entertain even the most persnickety of audiences.",8/10
9812,Lucky Number Slevin,"The flick is made from good parts, but doesn't feel as light on its feet as it should.",B-
9813,Lucky Numbers,A flat piece of work.,6/10
9814,Lucky Stiff,Its irritatingly saccharine tone is such that it shuns grappling with certain characters' dubious and perverse behaviors.,0.5/4
9815,Lucky Them,...an impressively conceived and executed little drama.,3/4
9816,Lucky You,"Not quite a Big Slick, but a pleasant, witty enough little flick with an engaging protagonist.",3/4
9817,Lucy,"Is it possible for a movie to be brainy and stupid at the same time? Luc Besson's ""Lucy"" makes a pretty compelling case.",B
9818,Lucy in the Sky,"Much like he's done in ""Fargo"" Hawley wants to aim for the stars, but, this time around, he can't even achieve liftoff.",C-
9819,Luis and The Aliens,The Lauensteins are light years away from post-Pixar animation. [Full review in Spanish],2/5
9820,Lullaby,"Inspired by events within his own family, Andrew Levitas' feature directorial debut transforms his own script into a movie that wears its heart on its sleeve.",3.5/5
9821,Last Hunt,"Not for the squeamish, as the killing of the buffalo is real--done by sharpshooters hired by the government to thin out the herd.",A-
9822,Lulu on the Bridge,Whatever.,2.5/5
9823,Lumumba,The term for this type of film is 'self-important.',F
9824,Lunch,An agreeable visit with comedy titans who clearly cherish the opportunity to regale their peers with war stories and opinions about the state of comedy today.,3/5
9825,Lupin III: The Castle of Cagliostro (Rupan sansei: Kariosutoro no shiro),"Cagliostro is a film first, and an anime second.",3/4
9826,Lured,A decent thriller about a hunt for a serial killer.,B-
9827,Lurking Fear,"The promised terror never makes an appearance in LURKING FEAR, a Charles Band production with a serviceable premise but negligible execution.",1/4
9828,"Lust, Caution","A gorgeous film that you can enjoy for the visuals, the soundtrack and the terrific acting, making it much harder to hold its slow pace against it.",7.5/10
9829,Lust in the Dust,Obvious gags and mind-numbing gross-out schtick.,2/5
9830,Lust Stories,"Manisha is excellent throughout and comes across as a real woman wanting a meaningful, fulfilling relationship.",3.5/5
9831,Lustre,"The late character actor Victor Argo stars in this melancholy, often surreal love letter to a post-September 11 New York City.",3.5/5
9832,LUV,Succeeds on an emotional level even if it fails to deliver anything very surprising in terms of plot.,3/5
9833,Lying and Stealing,"This ""Thomas Crown Lite"" caper comedy makes a fine vehicle for Theo James and Emily Ratajkowski.",2.5/4
9834,Lyle,"The answers the movie provides aren't as satisfying as its mysteries, but it's a creepy little surprise.",B-
9835,Lymelife,Among the best-written films I have seen this year.,A-
9836,M. Butterfly,"All of this is interesting, in its way, and yet the film of M. Butterfly does not take hold the way the stage play did.",2.5/4
9837,Ma,"Ma appears to have been written, shot, and cut with the words ""visceral"" and ""surreal"" hammering every corner of Rowlson-Hall's directorial reach.",1.5/4
9838,Ma,"In her first horror film, Octavia Spencer is a twisted treat, but this predictable Blumhouse scarefest rarely lives up to the irresistible dynamo at its center..",2.5/5
9839,My Life in Pink (Ma Vie en Rose),"The movie is about two ways of seeing things: the child's and the adult's. It shows how children construct elaborate play worlds out of dreams and fantasies, and then plug their real worlds right into them.",3/4
9840,MacGruber,"An unending string of easy scatological jokes which it executes really, really well.",3/5
9841,Macao,Stylish noir from Sternberg.,4/5
9842,MacArthur,A woefully overblown biography with a wooden Indian Peck as MacArthur. He poses instead of acts.,1/5
9843,Macbeth,"Macbeth is dark, malignant, shot through with the most upsetting and gut-wrenching violence you will ever see in a major-studio release.",5/5
9844,Macbeth,"The braw news is that Justin Kurzel - Australian director of the agreeably horrible Snowtown - has knocked together the most muscular, propulsive version yet seen.",4/5
9845,Machete,Robert Rodriguez loves exploitation cinema but his homages to the disreputable genre are defined by italicized self-consciousness that leaves his humor without any room to breathe.,2/4
9846,Machete Kills,"It breaks my heart too, because I am totally behind the concept of the Machete movies.",4/10
9847,Machete Maidens Unleashed!,More fun from the director of NOT QUITE HOLLYWOOD. A total blast.,8/10
9848,Kataude mashin gâru (The Machine Girl),A riotous blend of arterial spray and grindhouse glee.,3.5/5
9849,Machine Gun Preacher,"[Marc Forster]is constrained by reality, and so is left with a story that lacks much of a satisfying climax or anything like a proper ending.",2.5/4
9850,The Machinist,"A fractured puzzle of a film that continually toys with our expectations, yet never lets us see its entire hand until Anderson wants us to",3.5/4
9851,MacKenna's Gold,"Overlong, absurd bore.",C
9852,Mad As Hell,The doc is too enamored with Cenk Uygur and his convictions that it hews more closely to being a conventional and one-sided biographical portrait.,2.5/4
9853,Mad City,Mad City arrives with the last thing a movie about journalism needs -- last year's news.,2/4
9854,Mad Cowgirl,"Theaters showing this should install seatbelts, because audiences are in for the ultimate wild ride.",5/5
9855,Mad Detective,Interminable and pointless virtually from start to finish...,1/4
9856,Mad Dog and Glory,"As in his previous films, McNaughton has an uncanny mastery over reality: this film -- the locations, the people, the emotions -- rings true.",4.5/5
9857,Mad Hot Ballroom,"A paean to the essential goodness of so many unsung heroes of American education, and to the frailty of the innocence all children carry with them.",5/5
9858,Mad Love,Martyr gets royally screwed and comes back for more.,3/4
9859,Mad Max,Features the best anti-hero cinema has given us in the past few decades.,3.5/4
9860,Mad Max 2: The Road Warrior,"I'm not necessarily a pessimist, and I believe that mankind will somehow muddle through into the future, but if things ever do go down, this future here seems a likely possibility.",3/4
9861,Mad Max Beyond Thunderdome,"Definitely the worst movie in the Mad Max series. Weakly plotted, largely a re-hash of the previous movie without even the vaguest hint of tension.",1.5/4
9862,Mad Max: Fury Road,"George Miller has put the modern action film to shame. Simply put, this is the best action movie I've seen so far this decade.",A
9863,Mad Monster Party,What it does best is remind that children's entertainment need not be an empty sideshow free of controversy and the occasional chill.,3/4
9864,Mad Tiger,"Combining rowdy concert footage and revealing offstage interactions of the band members, ""Mad Tiger"" is a well-executed portrait of a band coming apart at the seams.",3/4
9865,Mad to Be Normal,Mullan's partial fabrication of Laing's well-documented story robs Mad to Be Normal of authority at every turn.,2/5
9866,Madagascar,It's a prodigious comedic mix of smart gags on both adult and kiddie levels.,4/5
9867,Madagascar 3: Europe's Most Wanted,"Third chapter (and first in 3D) in the popular franchise benefits from fast pacing, bright colors, dazzling circus acts, vigorous villain, and some new charcaters.",B+
9868,Madagascar: Escape 2 Africa,I found myself feeling a sense of enjoyment rather than the dread I expected.,B+
9869,Madagasikara,Sobering...the real Madagascar is more Dickensian than Dreamworks animated.,3/4
9870,Madame,Madame doesn't quite hit the level of biting satire. But it says enough about the haves and have-nots to be substantial in its portrayal of affected candy-coloured opulence.,3/5
9871,Madame Bovary,"The first half is shot almost like a horror, all oppressive rumbling clouds and lashing of mist and shot of her back, suffocating corset laced up like a spine.",3/5
9872,Madame Curie,"Surprisingly watchable, given its iffy subject matter.",3/5
9873,Madame Satã,"All the main characters are loud, crude, obnoxious and just grating in general.",2/5
9874,Made,"Favreau takes a different, unexpected route, and the ride is certainly a witty and entertaining one.",3/4
9875,Made in America,"The sentiment is pure, and the assemblage of talent is indeed interesting. What's promising on a cinematic front are the great documentary moments.",B-
9876,Made in Dagenham,Told in an accessible and reassuringly crowd-pleasing way.,4/5
9877,Made in Italy,A father and son bond by working together in beautiful Tuscany.,B
9878,Made of Honor,"Exaggerating the genre cliches is a joke the audience can share; deriding their belief in romance, the genre's sacred trust, is not.",3/5
9879,Madea Goes to Jail,"Obviously Perry's fanbase will turn out to support his latest morality play, but don't expect Madea Goes to Jail to bring any new converts to the Church of Tyler Perry.",2.5/5
9880,Madea's Big Happy Family,"Perry's big breadwinner is big on laughs, and those laughs aren't limited in their effectiveness to those who've already drunk Madea's Kool-Aid.",3.5/5
9881,Madea's Family Reunion,"Domestic violence, incest and greed are some of the issues that boil over in this sweet and sour comedy that adheres to theatrical guidelines that are seldom politically correct.",B
9882,Madea's Witness Protection,"A spectacularly slapdash and wearingly half-hearted effort from the prolific writer-director-actor, lacking energy, structure or common sense.",0/5
9883,Madeline's Madeline,This is one of the boldest and most invigorating American films of the 21st century.,A
9884,Mademoiselle C,"Instead of giving the viewer the satisfaction of watching a movie, this charming collection of incidents feels like flipping through a magazine with amusing Franglais quotations pulled.",3/5
9885,Mademoiselle Chambon,"A simple story about a small-town French romance elevated by remarkable acting, clever dialogue, good music.",B+
9886,Mother (Madeo),"It's elegant, witty, tightly plotted and absolutely gripping.",4/5
9887,Madhouse,"The movie is mostly merely pleasant. On a few occasions it's very funny, but it never quite goes over the top and gets the big laughs it is obviously aiming for.",2/4
9888,Madison,"It succeeds. Recalling a sweeter era in filmmaking, Madison is a movie you can watch with your grandmother.",3/5
9889,Madman,"Fits the '80s slasher blueprint to the letter. It's only adequately made, but it happens to feature a handful of scenes so knee-slappingly bad that the film ranks as a party favorite.",1.5/4
9890,Madness in the Method,"There's something in the self-aware approach that's worth exploring, but Mewes doesn't want to be entirely honest with himself.",D+
9891,The Madness of King George,One of the unlikeliest but most likable movies of the 1990s.,5/5
9892,Madonna: Truth or Dare,"Although the movie seems happiest when it is retailing potential scandal, its heart is not in sex but in business, and the central value in the film is the work ethic.",3.5/4
9893,"Madrid, 1987","A sweet, sometimes dull and certainly overlong film ...",2.5/5
9894,The Madwoman of Chaillot,"He's taken Jean Giraudoux's late 1940s play, jacked it up with some easy references to nuclear testing and radical students, and attempted to pass it off as relevant.",2/4
9895,Maestro,Painfully boring.,1/5
9896,Mafioso,"Alberto Lattuadas incomparable, half-forgotten 1962 crime comedy-travelogue is at once a giddy mixture of farce, satire and opera buffa.",5/5
9897,The Magdalene Sisters,"Nuns stomp down hallways like Storm Troopers while the girls are treated to the full Lars von Trier victim package, complete with bloody beatings, sexual assaults, and ugly full-frontal nude scenes.",C-
9898,Maggie,"In a genre practically defined by fatalism, Maggie probably reigns supreme.",6.5/10
9899,Maggie's Plan,"""Witty, observational, and hilarious.""",B+
9900,Magic Beyond Words: The JK Rowling Story,Lifetime translated a potentially heartwarming and positive tale into something rife with clichs.,3/10
9901,The Magic Flute,"Although Branagh has done a good job of toning down the opera's more ridiculous elements, what remains will test even the most willing opera virgin.",3/5
9902,Magic in the Moonlight,Magic in the Moonlight has Woody Allen's usual irrepressible charm that will appeal to those who have stuck with him through thick and thin.,7.5/10
9903,Magic in the Water,"If dying of boredom was possible, this movie would be lethal.",0/4
9904,Magic Magic,"The script unsettles, but never scares, so it doesn't work as a horror film. It's also not a convincing chronicle of deteriorating mental illness.",3/5
9905,Magic Mike,"I know, you don't just want to make the male stripping movie, but if you fill your story with banal clichs, you might as well just make the stripping movie.",4.5/10
9906,Magic Mike XXL,"""Step Up: The Stripping Years."" Yeah, it's that dumb. And clumsy.",2/4
9907,The Magic Sword,Silly fun with some winning performances and campy effects,3/5
9908,Magic Trip,Bright experiences stand out amid the general tedium of this road-and-buddy movie.,B
9909,Magical Universe,"Obsessive artist, obsessed filmmaker. Worth all the obsession? Somewhat.",2.5/4
9910,Magician: The Astonishing Life and Work of Orson Welles,"Director Chuck Workman's simply compiles Welles's greatest moments, offering little in the way of an authorial point of view.",2/4
9911,Magnificent Obsession,"Absurdly overrated soap, done better in 1935",2/5
9912,Magnolia,"Magnolia is a jigsaw puzzle of a film that, unfortunately, once its final image takes shape, is far less compelling than the pieces from which it was fashioned.",7/10
9913,Magnum Force,...too long and too wayward.,6/10
9914,Maid in Manhattan,"By film's end, Marisa swallows her shame and accepts her second-class citizenship with pride while Marshall and America learn to love their exotic asset.",1.5/4
9915,Maiden,"While Maiden is satisfying on its own, it's tailor-made for a remake that can dive deeper into a story that has so much life left in it.",B
9916,Maidentrip,"If it at times, the movie ends up communicating the boredom of such an isolated endeavour, that's necessarily a criticism.",2/4
9917,Mail Order Wife,"A caustic comedic commentary on how men handle love, as well as how they're led around by the head of their genitalia, Mail Order Bride should not be missed.",4.5/5
9918,Main Street,"An unreleased movie is like a kind of commodity, one whose value goes up and down depending on the vagaries of circumstance.",2/5
9919,Maine,"It's a sad and romantic notion, but the characters in Matthew Brown's (""In the Treetops"") Maine are sad and romantic people. In fact, that's all they are for much of this spare, outdoorsy story.",C+
9920,The Majestic,"""The Majestic"" shares a double layer of meaning because it is as much about the movies and the role they play in our lives as it is about the characters and the story.",3/5
9921,Major Dundee,"At its best you can feel Peckinpah, at the twilight of the studio era, dreaming of a far wilder bunch.",B
9922,Major League,"If you feel the desire to rent this puppy, by all means. But don't bother with the sequels.",3/5
9923,Major League II,"The humor is so predictable, forced and awkward that the actors sometimes seem like helpless bystanders.",1.5/4
9924,Major League: Back to the Minors,Unwatchable drivel.,0/4
9925,Major Payne,"Although the plot of the movie is a familiar formula, the dialogue and performance are not; it's a smart, funny job of poking fun at all those movies where sadistic drill instructors terrorized their green recruits.",3/4
9926,Make Believe,"[VIDEO] ""Make Believe"" is a touching movie about discipline and the promise of illusion to elevate the mundane into the sublime. You'll be amazed.",A
9927,Make It Funky,"There's not a second in this film that isn't a reminder that New Orleans in its architecture, cuisine and multicultural diversity as well as in its music is a unique and major American center of culture.",4/5
9928,Make It Happen,The story may be predictable but Winstead infuses every moment with an amazing amount of charm.,4/5
9929,Make Out With Violence,"Make-Out with Violence is proud of its dual identity, yet suffers from an identity crisis.",2/5
9930,Make the Yuletide Gay,a kindhearted and very low impact coming out tale with only the slightest bit of angst getting in the way of the feel good vibe,2/5
9931,Make Your Move,"Scenes from the competing clubs include impressive choreography and gravity-defying moves. If only the poorly delivered, trite dialogue and predictable plot aimed as high.",1/4
9932,Making the Boys,"Engrossing and insightful, revealing the behind-the-scenes story of Mart Crowley's controversial 'Boys in the Band.'",8/10
9933,Making Babies,Genial but overfamiliar trying-to-conceive comedy that tries too hard and becomes more of a chore than a joy.,1.5/4
9934,Making Montgomery Clift,"At its best, Making Montgomery Clift serves as a new, fresh take on the famously tragic queer icon Montgomery Clift.",3/4
9935,Maktub,"Dark, funny. Totally Netflixable.",2.5/4
9936,Mala Noche,"Van Sant's frequently astonishing script is funny and passionate, his editing savvy, and his choice of music perfect as he freely and unapologetically celebrates Walt's love of Mexican boys.",4/4
9937,Maleficent,"Much like the character of Maleficent veers between hero and villain during the story, the film straddles the line between magnificence and misery.",3/5
9938,Maleficent: Mistress of Evil,"For older kids, and grown-ups who like their fantasy on a grand scale, this sometimes grim fairy tale is a deliciously dark ride.",3.5/4
9939,Malevolent,...as ineffective and monotonous a horror effort as one can easily recall...,1/4
9940,Malibu's Most Wanted,"When (Anthony Anderson and Taye Diggs) are on screen, Kennedy is more than just white -- he's invisible.",2/4
9941,Malice,One of the most trashily enjoyable medical thrillers out there.,3.5/5
9942,Malice in Wonderland,Genuinely original interpretation of the Brit gangster and Lewis Carroll's surreal tale.,3/5
9943,Mallrats,Fans of Smith's first film will appreciate Mallrats for its combination of the same type of humor and many of the same actors from Smith's acclaimed debut.,2.5/5
9944,Mama,A better than average horror premise and some clever bits that are often enough to make up for the more obvious moments that foray into cliché territory.,7/10
9945,Mama's Boy,"When the writer's this far off, the actors and the audience pay the price.",1/5
9946,Mambo Italiano,[An uneven but] not so predictable story about coming to terms with who you and the people close to you are.,2/4
9947,The Mambo Kings,The Mambo Kings is a tinsel-edged dream of a movie.,B
9948,Mame,"Overstuffed, but the music's still great.",3/5
9949,Mamma Mia!,"Incredibly, Mamma Mia! looks set for a whole new lease on life.",4/5
9950,Mamma Mia! Here We Go Again,"For fans, there is enough ABBA energy to make up for those moments when you are convinced the musical has met its Waterloo.",2.5/4
9951,Man About Town,Affleck's best performance since Good Will Hunting,3/5
9952,A Man Apart,"Action-packed but slower than a simmering chook, ""Dominion"" takes what reads like the latest Steven Seagal movie and marries it with heart pounding music and lots of Diesel-like commotion to have an audience feel they're' actually watching something a lot",2.5/5
9953,Man Bites Dog,"Joins I Stand Alone and Funny Games on the list of maddeningly recondite European films that exploit the violence-in-media subtext to hide their sick, voyeuristic fantasies.",1/5
9954,A Man Called Horse,"It's all very socially aware and nature-friendly, and the tale is a worthwhile one indeed; too bad A Man Called Horse moves so slowly for much of its running time.",3.5/5
9955,Man Camp,The movie has plenty of comedy. And it also has plenty of heart.,3.5/5
9956,Man Down,Dito Montiel's silly plot machinations waste a solid performance from Shia LaBeouf.,1.5/4
9957,Man Friday,"The movie talks itself out, trying to resolve its situation with words and yet never finding a dramatic way to handle it.",2/4
9958,The Man from Elysian Fields,The whole is less than the sum of its wonderful bon mots.,2.5/5
9959,The Man From Laramie,"Taut, brutal Western with King Lear overtones",5/5
9960,The Man From Nowhere,"The man might be from nowhere but this film could only come from Korea, the land of a million stories of revenge.",B
9961,Jimmy Carter Man From Plains,"Demme subtly portrays Carter's love affair with wife Rosalynn, and succeeds where Carter's book failed -- expertly and objectively making a movie that is provocative without being divisive.",3.5/4
9962,The Man from Snowy River,...classic entertainment for families.,4/5
9963,Man in Camo,It is absolutely worth watching as soon as you can.,9/10
9964,Man in Red Bandana,"Weiss, unfortunately, missed the film-school class where they teach fledgling documentarians not to overuse footage of the events of 9/11.",1/4
9965,The Man in the Gray Flannel Suit,far more valuable as documentation of very particular time and place in American society than it is as drama,3.5/5
9966,The Man in the White Suit,"Clever Ealing comedy, though perhaps not as great as its legend.",4/5
9967,Man of Aran,A spellbinding look at an extreme way of life.,4/4
9968,Man of La Mancha,Richly entertaining adaptation of the popular Cervantes-inspired musical.,4.5/5
9969,Man of Tai Chi,"A tediously repetitive film desperately looking for some heart and soul. Reeves is the Man of Concrete, grey and predictable behind the camera and an impassive mask of grunts in front of it. Definitely no excellent adventure.",1.5/5
9970,Man of the Century,"Man of the Century is a peculiar delight, a one-of-a-kind movie that was obviously inspired by their love of old movies.",3/4
9971,Man of the House,"Despite having a comeptent director, it's a slap-dash thing, with Cedric not really fitting into the main story.",2/5
9972,Man of the Year,A wishy-washy thriller with political leanings that never quite fit.,2/5
9973,Man on a Ledge,"Dumber than its title and less exciting than its poster, this spectacularly silly thriller starts with a sky-high concept and soon plummets towards preposterousness.",2/5
9974,Man on Fire,"Has moments of brilliance -- and by that I mean actual, best-of-the-decade-maybe genius -- but is hampered somewhat by a dreary and repetitive middle section.",B+
9975,Man on Wire,It's magical stuff.,9/10
9976,Man Push Cart,"Like that daily grind, his story of salvation sought and never attained is one of listless, bloodless tedium.",2/4
9977,Man Up,"The golden age of the meet-cute rom-com fizzled out long ago, but the snappy, smart, and undeniably sweet ""Man Up"" fills that gap with ease, a new wave rom-com unafraid of old school trappings.",A-
9978,The Man Who Fell to Earth,"The film has turned out to be prophetic, and, in so doing, demonstrates one of the wonders of great films: their ability to mean different things at different times.",5/5
9979,The Man Who Knew Too Little,The movie is simply not funny.,1/4
9980,The Man Who Shot Liberty Valance,John Ford's final masterpiece proves that irony and sincerity are not enemies.,4.5/5
9981,The Man Who Wasn't There,"Digs under the Norman Rockwell portraits to show the venality, chicanery, and cupidity of our country.",3/4
9982,The Man Who Would Be King,"Entre uma batalha e uma avalanche, o roteiro procura arrancar boas risadas da platia. E consegue.",4/5
9983,Man With a Movie Camera,"This is cameraman as documenter, magician and stuntman rolled into one.",4/5
9984,The Man with One Red Shoe,One of Tom Hanks' speed bumps on the way to superstardom.,2/5
9985,The Man with the Golden Gun,"I thought Live and Let Die had to be the worst Bond movie in the series, but now I'm not so sure. The Man with the Golden Gun is running a very close second.",1.5/4
9986,The Man with Two Brains,Martin's at his wildest and craziest in this seriously silly sci-fi spoof.,4/5
9987,The Man Without a Face,"The movie is Gibson's debut as a director, and shows him not only with a good visual sense, but with what is even rarer, the confidence to know what needs to be told and what can be left unsaid.",3/4
9988,The Man Without a Past,"Though his engagement of silent idiom recalls Chaplin, his leisurely pacing brings to mind Jarmusch.",2.5/4
9989,Management,...the palpable chemistry between Zahn and Aniston certainly [plays] a key role in the film's initial success.,2.5/4
9990,Manakamana,"A repetitive but sometimes beguiling documentary produced by the directors of Leviathan,",B
9991,Manborg,"Too bad the story sags, although the padding is a riot.",2.5/4
9992,Manchester by the Sea,"Manchester by the Sea plants a lot of seeds, but it doesn't grow.",2.5/4
9993,Manchild: The Schea Cotton Story,"It will appeal not just to basketball fans, but anyone with a soul, as his mother, father, and brother tell his story and bring him back to his prime.",8/10
9994,The Manchurian Candidate,"Absolutely riveting entertainment, a chilling portrait of human paranoia also posing as an engrossing and visually vibrant political thriller. This is one arresting film.",3.5/4
9995,Manda Bala (Send a Bullet),"Using real film (unusual in a doc), director Kohn avoids the trap of endless talking heads giving dramatic form to the crime and corruption endemic in Brazil.",B+
9996,Mandela: Long Walk to Freedom,"Mandela: Long Walk To Freedom's story and plot are flawed, but are easily overshadowed by the lead performances by Naomie Harris and an Oscar-worthy Idris Elba.",7/10
9997,Manderlay,"Von Trier upends the accepted dialogue on race, pushing past stereotypes and correctness.",3.5/5
9998,Mandingo,"too trashy to be good drama, but too dramatic to be good trash",1.5/4
9999,All the Boys Love Mandy Lane,"All the Boys Love Mandy Lane (is) the best modern slasher flick since Scream. In fact, I like All the Boys Love Mandy Lane a little more than Scream -- All the Boys may be knowing and post-modern as it begs, borrows and steals from films like Prom Night,",3/4
10000,Mandy,"Mandy is a totally uncompromising vision from a singular filmmaker - a pulsing, twisted descent into heavy metal vengeance that must be seen to be believed.",7/10
10001,Manglehorn,The finest performance Pacino has delivered in years.,4/5
10002,The Mangler,It's about a homicidal laundry machine. You do the math.,2/5
10003,Manhattan,"Its emotional honesty and depth, tender and humane humour and remarkable sensual splendour place Manhattan among Allen's best.",91/100
10004,Manhattan Melodrama,"A very adult film with a credibly thorough exploration of those decisions that become ""every day"" based upon the lifestyle of the decision-maker.",5/5
10005,Manhattan Murder Mystery,"""Manhattan Murder Mystery"" is an accomplished balancing act.",3/4
10006,Manhattan Night (Manhattan Nocturne),"Manhattan Night is modest in a way that automatically consigns it to the margins of the summer movie season. But like its hero's carefully secluded home, it's worth seeking out along the sidelines.",B
10007,Maniac,Whoa! Even seeing it isn't believing!,3/5
10008,Maniac,"too good to be dismissed as simple exploitation, but also too inept in too many ways to be taken seriously",2/4
10009,Maniac,"One of the purest genre films of the decade. Honestly, be wary of Maniac. This film will do for walking home alone what Jaws did for the beach.",5/5
10010,Maniac Cop,"Gruesome, gory, and actually kinda fun.",2.5/5
10011,Manic,"Avoids the common pitfalls of the genre, instead giving us an intense character study supplemented by a supporting cast of characters, not vague stereotypes.",A-
10012,Manifesto,Confidently fulfils its ambitious intent with ease.,3.5/5
10013,Manito,A gritty look at one of Manhattan's more vibrant neighborhoods.,3/4
10014,The Manitou,Ack! There's an evil Indian demon growing on my neck!,1/5
10015,Mannequin 2: On the Move,Let's face it. This whole movie is based on stereotypes.,1/5
10016,Manny,"An informative, if largely deferent, biographical documentary that tritely explains the ascendancy of Filipino boxer Manny Pacquiao.",2/4
10017,"Manolo, The Boy Who Made Shoes For Lizards","Michael Roberts's documentary is an unabashed exercise in deifying its subject matter with superlatives and hyperbole from the mouths of talking heads, which ultimately results in the cheapening of the artist.",1/4
10018,Manos: The Hands of Fate,"Just as Citizen Kane is a textbook example of how to make a quality film, Manos: The Hands of Fate is exemplary in showing us, step-by-step, how to make a bad one.",1/5
10019,Man's Best Friend,"One of the sillier ""killer dog"" movies - and that's saying something.",2.5/5
10020,Man's Favorite Sport?,"Here Hawks moves a little slower, cribbing some of his own early jokes, but still dead funny.",4/5
10021,Mansome,A frustratingly frothy film that says nothing about its subject.,2/5
10022,The Manson Family,This truly is one great-looking film whose like will never come our way again.,5/5
10023,Manson Family Vacation,"Manson Family Vacation proves Nick and Conrad are better when they are together and Davis wisely keeps their relationship at the center of the film, no matter what the two brothers encounter on their journey together.",B
10024,Man-Thing,As by-the-numbers as Bingo... A far bigger blow than anything Linda Lovelace could've bought to the table,1/5
10025,Manufactured Landscapes,"Though its vistas may look alien, this urgent, quietly damning film never lets us forget that we, by dint of our comfy environs, are their creators.",4/5
10026,Manufacturing Consent - Noam Chomsky and the Media,"A long, fascinating docu about the noted MIT professor and his lifelong work about propaganda in American society, or more specifically how the mass media set the agenda by selecting, distorting, framing--and also ignoring--major social issues.",A-
